City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,9.9,86,100,4.92,NZ,1686684550
1,iqaluit,63.7506,-68.5145,5.85,52,75,6.17,CA,1686684550
2,karratha,-20.7377,116.8463,19.91,39,0,4.33,AU,1686684550
3,port-aux-francais,-49.35,70.2167,5.37,96,84,9.08,TF,1686684550
4,howrah,22.5892,88.3103,31.0,84,40,4.12,IN,1686684550
5,katsuren-haebaru,26.3369,127.8719,26.01,100,20,3.09,JP,1686684551
6,olonkinbyen,70.9221,-8.7187,2.85,90,9,12.09,SJ,1686684320
7,lebu,-37.6167,-73.65,12.19,60,100,5.28,CL,1686684551
8,manta,-0.95,-80.7333,29.88,89,40,8.05,EC,1686684551
9,wailua homesteads,22.0669,-159.378,26.24,87,100,8.23,US,1686684551
10,kailua-kona,19.6406,-155.9956,27.98,83,20,7.2,US,1686684551
11,bikenibeu village,1.3673,173.1241,28.98,84,40,3.09,KI,1686684552
12,albany,42.6001,-73.9662,23.21,60,100,0.45,US,1686684552
13,callao,-12.0667,-77.15,22.16,68,75,5.14,PE,1686684552
14,adamstown,-25.066,-130.1015,20.89,62,29,1.2,PN,1686684552
15,tokonou,9.65,-9.7833,22.27,94,100,2.28,GN,1686684552
16,blackmans bay,-43.0167,147.3167,4.85,93,77,1.77,AU,1686684552
17,saipan,15.1355,145.701,28.39,100,40,3.6,MP,1686684552
18,bilibino,68.0546,166.4372,-0.14,72,100,8.28,RU,1686684553
19,irati,-25.4672,-50.6511,8.98,99,100,2.03,BR,1686684553
20,edinburgh of the seven seas,-37.0676,-12.3116,15.16,94,100,4.8,SH,1686684320
21,margaret river,-33.95,115.0667,13.92,71,35,5.9,AU,1686684533
22,erenhot,43.6475,111.9767,23.86,19,98,4.11,CN,1686684553
23,kodiak,57.79,-152.4072,11.73,54,0,3.6,US,1686684553
24,port elizabeth,-33.918,25.5701,18.39,58,0,5.14,ZA,1686684553
